Company,taiwan,china,semiconductor,supply chain,risk,threat,growth,chip,factory,production,shortage,investment,manufacturing,innovation,disruption,global,market,demand,silicon,foundry
Embraer,0,0,0,1,0,2,4,0,0,1,0,0,0,0,1,7,18,6,0,0
Embraer,,,,,,,,,,,,,,,,,,,,
Embraer,,,,,,,,,,,,,,,,,,,,
TSMC,,,,,,,,,,,,,,,,,,,,
TSMC,4,9,18,3,1,4,0,6,0,1,0,4,4,2,0,7,2,0,1,0
TSMC,,,,,,,,,,,,,,,,,,,,
TSMC,,,,,,,,,,,,,,,,,,,,
TSMC,,,,,,,,,,,,,,,,,,,,
TSMC,,,,,,,,,,,,,,,,,,,,
TSMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSMC,,,,,,,,,,,,,,,,,,,,
TSMC,,,,,,,,,,,,,,,,,,,,
TSMC,,,,,,,,,,,,,,,,,,,,
TSMC,,,,,,,,,,,,,,,,,,,,
External,0,0,4,1,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0
External,8,5,7,2,0,2,0,3,0,2,1,0,1,0,1,3,1,0,0,0
External,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
External,4,3,2,2,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0
External,0,2,11,6,16,1,0,0,0,2,0,0,0,0,3,3,3,0,0,0
External,2,2,60,14,1,0,14,29,0,14,12,4,13,7,2,13,11,41,5,1
External,0,0,6,2,2,0,5,4,0,0,1,4,1,2,0,1,1,6,0,0
External,10,7,7,10,3,0,0,7,0,0,0,1,3,0,1,7,0,0,0,0
External,0,1,20,24,3,11,1,3,0,11,4,3,7,2,5,4,6,2,2,0
External,,,,,,,,,,,,,,,,,,,,
External,12,15,41,12,1,1,0,10,0,9,1,4,10,2,2,11,0,1,0,0
External,1,0,12,7,3,0,3,16,0,1,3,1,3,0,3,3,14,15,0,0
External,0,2,6,10,2,0,0,12,0,0,0,0,2,0,1,3,0,0,0,0
External,,,,,,,,,,,,,,,,,,,,
External,3,16,15,6,1,1,0,7,0,7,0,0,5,4,0,8,1,1,0,0
External,23,6,11,4,5,1,0,7,0,1,1,0,7,0,1,10,1,0,0,1
External,112,174,101,50,19,5,7,41,1,30,5,14,37,9,6,32,25,6,7,4
External,83,30,30,12,10,3,2,11,0,4,0,1,8,10,2,38,1,0,1,0
External,47,19,19,5,0,2,2,13,0,4,2,4,11,0,0,4,4,3,1,0
External,5,5,19,1,0,1,0,23,1,4,0,3,8,1,1,4,1,2,0,9
External,8,2,12,17,4,0,0,16,0,1,1,0,5,0,0,2,3,0,0,0
External,0,1,9,1,0,0,1,6,0,7,0,1,4,1,0,2,1,1,0,0
External,157,12,41,2,0,1,2,27,3,15,0,8,18,0,0,19,6,1,9,9
External,,,,,,,,,,,,,,,,,,,,
External,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
TSMC,5,0,2,0,2,0,0,1,0,3,0,7,2,1,0,0,0,1,0,0
TSMC,31,16,11,1,3,3,0,9,0,5,1,0,4,1,3,7,1,0,0,0
TSMC,3,2,1,1,10,0,3,2,0,1,0,3,1,0,0,0,0,5,0,0
TSMC,2,6,6,1,2,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0
TSMC,12,15,41,12,1,1,0,10,0,9,1,4,10,2,2,11,0,1,0,0
TSMC,,,,,,,,,,,,,,,,,,,,
TSMC,,,,,,,,,,,,,,,,,,,,
TSMC,,,,,,,,,,,,,,,,,,,,
TSMC,,,,,,,,,,,,,,,,,,,,
TSMC,8,5,7,2,0,2,0,3,0,2,1,0,1,0,1,3,1,0,0,0
Foxconn,11,11,0,4,3,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
Foxconn,1,2,0,1,5,0,1,0,0,1,0,1,2,0,0,4,5,0,0,0
Foxconn,4,18,0,1,0,0,0,0,2,9,0,0,8,0,1,2,1,0,0,0
Foxconn,3,9,0,2,0,0,1,4,3,4,0,7,9,0,0,3,10,3,0,0
Foxconn,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
Foxconn,0,1,0,1,0,2,3,0,0,1,0,1,0,0,0,4,0,2,0,0
Foxconn,1,0,7,1,0,0,2,5,0,2,0,2,2,0,0,2,1,2,0,0
NVIDIA,5,6,6,4,0,0,0,7,2,3,0,3,7,0,0,0,0,1,2,0
NVIDIA,1,9,2,0,3,1,1,7,0,0,0,0,0,0,2,0,5,1,1,0
NVIDIA,5,1,6,2,1,0,1,1,0,5,0,1,7,1,0,3,1,0,0,0
NVIDIA,1,17,0,1,5,1,1,11,0,0,1,2,1,1,1,2,6,0,0,0
NVIDIA,3,4,4,5,0,0,0,5,0,1,0,0,3,0,0,2,0,0,1,0
NVIDIA,1,1,3,1,0,0,0,5,0,0,0,0,2,0,0,0,2,0,0,0
NVIDIA,0,0,4,6,0,0,0,9,0,0,1,0,3,2,0,0,0,4,0,1
NVIDIA,3,2,0,1,3,0,2,4,0,0,0,0,0,0,0,0,6,2,2,0
ASML,1,3,7,0,0,0,6,3,0,0,0,0,1,0,0,0,2,2,0,0
ASML,0,0,6,2,4,1,1,10,0,0,1,2,3,0,1,1,1,1,0,0
ASML,,,,,,,,,,,,,,,,,,,,
ASML,,,,,,,,,,,,,,,,,,,,
ASML,,,,,,,,,,,,,,,,,,,,
ASML,,,,,,,,,,,,,,,,,,,,
ASML,,,,,,,,,,,,,,,,,,,,
ASML,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
Samsung,,,,,,,,,,,,,,,,,,,,
Samsung,0,1,5,1,0,0,3,8,0,0,0,1,2,1,0,1,6,1,0,0
Samsung,0,3,4,0,0,1,2,5,0,1,0,0,0,0,0,1,0,1,0,0
Samsung,1,0,3,0,0,0,0,6,1,6,2,1,1,0,1,0,0,0,0,1
Samsung,0,2,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Samsung,0,4,0,0,0,0,0,3,1,3,0,1,2,0,0,1,1,0,0,0
Samsung,0,0,2,0,0,0,9,1,0,1,0,0,0,0,0,1,11,14,0,2
Samsung,0,0,2,2,0,0,1,2,0,1,0,7,3,0,1,0,0,0,0,0
Samsung,1,1,20,0,0,0,2,5,0,2,0,1,1,0,0,5,4,2,0,1
NVIDIA,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
TSMC,7,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TSMC,16,3,3,2,2,0,0,43,0,9,3,2,7,0,0,4,1,2,0,2
ASML,0,29,6,0,0,1,0,4,0,0,0,0,2,0,0,1,1,5,0,0
Foxconn,14,12,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0
ASML,2,44,21,4,3,0,0,21,0,6,0,3,2,0,0,13,6,2,0,0
ASML,,,,,,,,,,,,,,,,,,,,
External,23,5,3,5,3,1,0,22,4,2,0,2,3,0,1,3,0,0,1,0
External,16,8,1,0,0,1,1,52,2,5,3,1,5,0,0,2,3,1,2,0
External,39,67,48,5,6,2,0,20,0,7,1,2,6,1,0,4,4,2,0,0
Foxconn,13,56,3,4,5,2,1,0,8,9,0,10,11,0,0,4,10,3,0,0
